document,line_number,character,dialogue
a new hope,214,OWEN,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!"
a new hope,215,LUKE,How's that.
a new hope,216,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well."
a new hope,217,THREEPIO,"Sir, would it help if you told him it was my fault."
a new hope,218,LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...
a new hope,219,THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt..."
a new hope,220,LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator."
a new hope,221,LUKE,"Hey, whoa, just where do you think you're going?"
a new hope,222,THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here."
a new hope,223,LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up."
a new hope,224,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
a new hope,225,LUKE,"No, he's not going to try anything."
a new hope,226,LUKE,What's wrong with him now?
a new hope,227,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast."
a new hope,228,LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on."
a new hope,229,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now."
a new hope,230,BEN,Hello there!  Come here my little friend.  Don't be afraid.
a new hope,231,BEN,"Don't worry, he'll be all right."
a new hope,232,LUKE,What happened?
a new hope,233,BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
a new hope,234,LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you!"
a new hope,235,BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
a new hope,236,LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
a new hope,237,BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.
